,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
478,2019-0062,1,2019-08-01,23,"PINO, VIRREY DEL Y CAMPOS, LUIS M. AV.",AVENIDA,13,-58.44462132,-34.56201105,PEATON,PASAJEROS
479,2019-0063,1,2019-08-04,1,FOREST AV. Y MAURE,AVENIDA,15,-58.45220688,-34.58711712,MOTO,PASAJEROS
480,2019-0064,1,2019-08-06,3,"BOYACA AV. Y AVELLANEDA AV,",AVENIDA,7,-58.4596221,-34.6224514,MOTO,AUTO
481,2019-0065,1,2019-08-08,16,BARCO CENTENERA DEL Y TILCARA,CALLE,4,-58.4197085,-34.65414867,PEATON,PASAJEROS
482,2019-0066,1,2019-08-11,21,RIESTRA AV. Y BOLIVAR,AVENIDA,7,-58.44187596,-34.64938031,PEATON,AUTO
483,2019-0067,1,2019-08-14,15,"CASTRO, EMILIO 4706",CALLE,10,-58.49101637,-34.64276621,MOTO,CARGAS
484,2019-0068,1,2019-08-14,17,27 DE FEBRERO AV. 5600,AVENIDA,8,-58.42493829,-34.66256502,MOTO,MOTO
485,2019-0069,1,2019-08-17,5,"GARAY, JUAN DE AV. 2874",AVENIDA,4,-58.40489318,-34.62930162,MOTO,AUTO
486,2019-0070,1,2019-08-22,12,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",AVENIDA,14,-58.4268668,-34.59217875,MOTO,BICICLETA
487,2019-0071,1,2019-08-27,11,PRIMERA JUNTA Y OLIVERA AV.,AVENIDA,9,-58.479611,-34.65620398,PEATON,CARGAS
488,2019-0072,1,2019-08-28,6,"ALBERDI, JUAN BAUTISTA AV. Y AZUL",AVENIDA,10,-58.47439934,-34.63524207,AUTO,AUTO
489,2019-0073,1,2019-08-29,1,ALVAREZ THOMAS AV. 1788,AVENIDA,15,-58.46711912,-34.57926018,AUTO,OBJETO FIJO
490,2019-0074,1,2019-08-29,9,"LUGONES, LEOPOLDO AV. Y PAZ, GRAL. AV.",AUTOPISTA,13,-58.46514781,-34.53465378,MOTO,CARGAS
491,2019-0075,1,2019-08-30,23,SAN ANTONIO Y LUJAN,CALLE,4,-58.37571078,-34.65584079,MOTO,PASAJEROS
492,2019-0076,1,2019-09-05,18,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI ALTURA DON PEDRO DE MENDOZA AV.,AUTOPISTA,4,-58.37157668,-34.65429986,MOTO,CARGAS
493,2019-0077,1,2019-09-08,3,"FIGUEROA ALCORTA, PRES. AV. Y TAGLE",AVENIDA,14,-58.39811256,-34.58070186,PEATON,AUTO
494,2019-0078,1,2019-09-12,8,"EINSTEIN, ALBERTO Y ALCORTA, AMANCIO AV.",AVENIDA,4,-58.41125934,-34.6541774,PEATON,CARGAS
495,2019-0079,1,2019-09-17,5,AGRELO Y COLOMBRES,CALLE,5,-58.41822901,-34.61866836,MOTO,PASAJEROS
496,2019-0080,1,2019-09-17,18,"CABILDO AV. y PAZ, GRAL. AV.",GRAL PAZ,13,-58.47617802,-34.53825652,PEATON,MOTO
